music	gender	A_calm.before	A_happy.before	A_relaxed.before	A_all.before	A_calm.after	A_happy.after	A_relaxed.after	A_all.after	country	mus_background	age
3	2	3	3	3	9	4	4	4	12	spain	no	31
3	2	3	3	2	8	4	4	3	11	none	no	66
3	1	3	3	3	9	2	2	2	6	serbia	no	25
3	1	2	3	1	6	2	3	2	7	italy	no	25
3	1	3	3	3	9	3	3	3	9	none	no	43
3	1	3	3	3	9	3	3	3	9	german	no	33
3	2	1	1	1	3	2	2	3	7	china	no	29
3	1	4	3	4	11	4	3	4	11	uk	no	32
3	1	1	1	1	3	2	2	3	7	china	no	29
3	2	3	3	3	9	4	4	4	12	spain	no	31
2	2	2	4	2	8	2	4	2	8	india	no	31
2	1	1	2	2	5	2	2	2	6	serbia	no	22
2	2	2	4	2	8	3	4	2	9	italy	no	35
2	2	2	3	3	8	4	3	4	11	italy	yes	32
2	2	3	1	2	6	2	1	1	4	spain	no	44
2	1	3	3	3	9	2	3	4	9	israel	no	36
2	2	2	3	3	8	4	3	4	11	german	no	34
2	1	3	2	2	7	4	3	4	11	german	no	26
2	2	1	1	1	3	2	1	2	5	china	no	29
2	1	3	3	3	9	2	3	4	9	israel	no	36
1	2	3	3	2	8	3	3	3	9	spain	yes	33
1	1	4	3	3	10	4	3	3	10	spain	no	67
1	2	3	3	2	8	2	1	2	5	spain	no	43
1	2	2	2	2	6	2	2	2	6	india	no	27
1	1	3	2	2	7	3	2	2	7	serbia	no	23
1	1	2	2	2	6	2	2	2	6	none	no	26
1	2	1	3	1	5	3	2	3	8	spain	yes	29
1	2	3	4	3	10	4	4	4	12	spain	no	18
1	2	2	3	2	7	2	2	2	6	uk	no	28
1	1	3	2	2	7	3	2	2	7	serbia	no	23
4	1	4	3	3	10	3	3	3	9	netherlands	yes	41
4	1	2	3	2	7	4	3	4	11	serbia	no	24
4	1	2	2	2	6	3	2	3	8	none	no	22
4	2	1	4	1	6	2	4	2	8	spain	no	18
4	2	1	1	1	3	4	4	4	12	china	no	28
4	2	1	4	2	7	3	4	2	9	china	no	29
4	1	3	2	1	6	2	3	4	9	china	no	30
4	2	1	3	2	6	3	3	3	9	spain	no	35
4	1	1	3	2	6	3	4	3	10	none	no	35
4	1	1	3	2	6	3	4	3	10	none	no	35
5	2	1	1	3	5	2	2	3	7	india	yes	27
5	2	1	2	2	5	3	2	3	8	serbia	no	24
5	2	1	3	4	8	4	2	4	10	serbia	no	23
5	2	3	3	3	9	2	3	2	7	italy	no	32
5	2	3	4	3	10	3	3	4	10	spain	no	33
5	2	2	1	2	5	2	3	2	7	spain	yes	22
5	2	1	1	1	3	1	1	1	3	spain	no	39
5	2	1	1	1	3	1	1	2	4	china	no	29
5	2	2	3	2	7	2	2	2	6	spain	no	35
5	1	2	3	3	8	2	3	2	7	german	no	33
